,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
372,Bushehr,50.84,28.97,306.15,66,49,1.34,IR,1597342970
373,Kununurra,128.73,-15.77,295.15,79,20,1.5,AU,1597342970
374,Coquimbo,-71.34,-29.95,287.15,62,0,5.1,CL,1597342970
375,Nanortalik,-45.24,60.14,283.57,91,66,2.84,GL,1597342971
376,Esim,-2.24,4.87,297.67,73,41,3.92,GH,1597342971
377,Ola,151.28,59.58,284.99,90,75,0.87,RU,1597342971
378,Margate,1.39,51.38,295.37,81,38,2.24,GB,1597342832
379,San Jose,-121.89,37.34,303.71,42,75,1.0,US,1597342944
380,Maceió,-35.74,-9.67,299.15,69,75,5.1,BR,1597342972
381,Paracatu,-46.87,-17.22,304.45,26,15,2.19,BR,1597342972
382,Yaring,101.37,6.87,298.89,83,100,0.78,TH,1597342972
383,Banfora,-4.77,10.63,300.55,72,54,1.28,BF,1597342972
384,Hendersonville,-86.62,36.3,306.15,59,40,1.5,US,1597342973
385,Port-Gentil,8.78,-0.72,299.15,78,40,6.71,GA,1597342973
386,Dakar,-17.44,14.69,303.15,70,40,4.1,SN,1597342500
387,Leh,77.58,34.17,293.55,24,0,2.46,IN,1597342973
388,Wanganui,175.05,-39.93,281.48,72,100,8.05,NZ,1597342973
389,Kupang,123.58,-10.17,296.71,86,0,3.43,ID,1597342974
390,Eucaliptus,-67.52,-17.58,287.15,41,20,2.1,BO,1597342974
391,Te Anau,167.72,-45.42,271.63,96,19,0.54,NZ,1597342974
392,Shellbrook,-106.4,53.22,293.15,49,20,2.6,CA,1597342974
393,Isangel,169.27,-19.55,294.79,82,69,6.34,VU,1597342975
394,Lewistown,-77.57,40.6,303.71,51,20,2.6,US,1597342975
395,Ternate,127.4,0.8,299.93,76,94,2.72,ID,1597342975
396,Korla,86.15,41.76,302.04,57,83,1.34,CN,1597342826
397,Ketchikan,-131.65,55.34,286.15,100,90,2.6,US,1597342976
398,Petropavlovsk-Kamchatskiy,158.65,53.05,282.15,100,40,2.0,RU,1597342976
399,Şile,29.61,41.18,298.71,68,0,3.13,TR,1597342976
400,Pochutla,-96.47,15.74,306.48,55,5,2.65,MX,1597342976
401,Necochea,-58.74,-38.55,285.37,63,42,3.58,AR,1597342976
402,Beloha,45.05,-25.17,290.29,85,0,3.06,MG,1597342977
403,Buala,159.59,-8.14,299.99,79,86,2.02,SB,1597342977
404,Oranjestad,-70.03,12.52,306.15,66,40,11.8,AW,1597342977
405,San Cristobal,-72.22,7.77,303.15,55,75,9.8,VE,1597342977
406,Geraldton,114.6,-28.77,282.15,93,60,5.1,AU,1597342978
407,Ust-Tsilma,52.15,65.44,280.78,92,96,2.14,RU,1597342748
408,Beringovskiy,179.32,63.05,282.81,80,64,3.01,RU,1597342978
409,Mildura,142.15,-34.2,284.15,87,52,3.1,AU,1597342978
410,Changji,87.32,44.02,299.15,31,78,2.0,CN,1597342978
411,Amahai,128.92,-3.33,297.72,84,88,1.42,ID,1597342979
412,Borås,12.94,57.72,294.82,56,59,2.6,SE,1597342979
413,General José Eduvigis Díaz,-58.42,-27.17,294.82,42,33,2.6,PY,1597342979
414,Lagoa,-27.98,39.05,295.6,79,1,4.98,PT,1597342979
415,Staryy Nadym,72.68,65.61,282.82,68,100,5.77,RU,1597342979
416,Sittwe,92.9,20.15,301.17,85,100,6.51,MM,1597342980
417,Kangaatsiaq,-53.46,68.31,278.85,71,93,1.54,GL,1597342980
418,Hwange,26.5,-18.37,294.02,21,0,1.53,ZW,1597342980
419,Mnogovershinnyy,139.92,53.94,282.0,75,0,1.27,RU,1597342980
420,Antigonish,-62.0,45.62,298.71,81,23,2.68,CA,1597342981
421,Sambava,50.17,-14.27,295.27,80,99,6.39,MG,1597342981
422,Harlingen,-97.7,26.19,307.59,52,20,5.1,US,1597342885
423,Constantine,6.61,36.37,298.15,65,75,5.1,DZ,1597342981
424,Miass,60.11,55.05,284.67,85,80,1.02,RU,1597342981
425,Athabasca,-113.29,54.72,290.61,54,45,5.97,CA,1597342982
426,Katsuura,140.3,35.13,301.15,83,48,4.6,JP,1597343249
427,Worthington,-83.02,40.09,305.37,40,1,2.6,US,1597342696
428,Florianópolis,-48.5,-27.61,296.48,69,42,4.6,BR,1597342982
429,Waingapu,120.26,-9.66,297.16,86,5,2.67,ID,1597342982
430,Camaná,-72.71,-16.62,290.66,63,47,3.85,PE,1597342983
431,Labuhan,112.21,-6.88,298.43,87,3,2.46,ID,1597342983
432,Emba,58.14,48.83,297.05,33,69,1.33,KZ,1597342983
433,Diamantino,-56.45,-14.41,311.57,17,0,2.02,BR,1597342983
434,Monrovia,-10.8,6.3,300.15,74,75,4.1,LR,1597342983
435,Ambovombe,46.08,-25.17,291.75,76,0,2.34,MG,1597342984
436,Villiers,28.6,-27.03,282.02,45,0,1.39,ZA,1597342984
437,Polokwane,29.47,-23.9,290.15,12,0,0.5,ZA,1597342984
438,Ossora,163.07,59.24,283.26,81,100,4.41,RU,1597342984
439,Carson City,-119.77,39.16,302.04,17,1,3.95,US,1597342844
440,Tessalit,1.01,20.2,309.86,28,90,3.2,ML,1597342984
441,Oistins,-59.53,13.07,304.15,62,40,9.3,BB,1597342939
442,Palimé,0.63,6.9,298.27,81,76,1.14,TG,1597342985
443,Gisborne,178.0,-38.65,283.15,72,100,0.89,NZ,1597342929
444,Saint-Augustin,-58.65,51.23,293.77,78,18,5.53,CA,1597342985
445,Krasnokamensk,118.04,50.1,285.87,93,100,5.48,RU,1597342986
446,Eyl,49.82,7.98,298.0,74,57,10.49,SO,1597342986
447,Lucea,-78.17,18.45,305.15,70,20,10.8,JM,1597342986
448,Heraclea,34.05,37.51,294.98,29,0,3.12,TR,1597342986
449,Chengzhong,113.55,30.95,304.15,66,100,3.0,CN,1597342986
450,Chifeng,118.96,42.27,293.91,56,0,5.26,CN,1597342987
451,Beyneu,55.2,45.32,300.55,24,3,0.99,KZ,1597342987
452,Stokmarknes,14.91,68.56,287.15,82,75,3.6,NO,1597342790
453,Beech Grove,-86.09,39.72,302.15,65,1,2.37,US,1597342921
454,Laje,-40.97,-10.18,301.93,35,3,6.43,BR,1597342987
455,Port Hardy,-127.42,50.7,286.15,87,75,3.1,CA,1597342882
456,Quatre Cocos,57.76,-20.21,294.82,77,40,3.6,MU,1597342988
457,Mahibadhoo,72.97,3.78,301.89,67,98,3.21,MV,1597342988
458,Menzelinsk,53.1,55.73,286.15,82,20,5.0,RU,1597342988
459,Salisbury,-1.8,51.07,295.37,88,75,1.0,GB,1597342909
460,Broome,-75.83,42.25,301.48,52,84,0.45,US,1597342989
461,Novotroitsk,58.33,51.2,291.15,48,45,1.64,RU,1597342989
462,Bradford,-1.75,53.79,289.82,93,75,5.7,GB,1597342989
463,Wangqing,129.76,43.32,292.37,94,100,3.11,CN,1597342989
464,Maltahöhe,16.98,-24.83,285.87,33,0,5.22,NA,1597342990
465,Palekastro,26.25,35.2,302.04,35,0,3.13,GR,1597342990
466,Elmvale,-79.87,44.58,301.48,74,46,1.34,CA,1597342990
467,Vadsø,29.75,70.07,285.15,76,93,3.6,NO,1597342990
468,Tsabong,22.4,-26.02,286.57,35,0,3.6,BW,1597342991
469,Mascote,-39.3,-15.56,298.71,61,24,2.48,BR,1597342991
470,Mananjary,48.33,-21.22,291.92,79,0,3.88,MG,1597342991
471,Lampari,124.88,6.31,295.5,82,89,0.5,PH,1597342991
472,Preobrazheniye,133.91,42.9,292.37,89,100,4.74,RU,1597342992
473,Mehrān,46.16,33.12,301.15,20,0,3.1,IR,1597342992
474,Tasiilaq,-37.64,65.61,287.15,28,20,6.2,GL,1597342992
475,Pisco,-76.22,-13.7,292.04,72,1,4.6,PE,1597342992
476,Kalmunai,81.82,7.42,300.31,79,71,3.09,LK,1597342992
477,Kirkwall,-2.96,58.98,286.15,87,82,2.6,GB,1597342993
478,Strezhevoy,77.59,60.73,287.15,93,90,3.0,RU,1597342993
479,Waddān,16.14,29.16,305.22,23,0,7.08,LY,1597342993
480,Khon Kaen,102.83,16.45,297.15,94,75,2.6,TH,1597342993
481,Vestmanna,-7.17,62.16,284.15,87,11,3.6,FO,1597342993
482,Nakhon Nayok,101.21,14.2,298.71,95,100,1.34,TH,1597342994
483,Yārāda,83.27,17.65,298.15,100,90,1.0,IN,1597342994
484,Merritt Island,-80.67,28.54,308.15,55,20,3.1,US,1597342994
485,Genhe,121.52,50.78,285.98,94,100,3.63,CN,1597342994
486,Umluj,37.27,25.02,302.6,59,0,0.99,SA,1597342995
487,Gizo Government Station,156.84,-8.1,300.47,83,93,7.25,SB,1597342995
488,Haines Junction,-137.51,60.75,284.75,62,99,0.45,CA,1597342995
489,Lucapa,20.74,-8.42,297.46,19,24,0.75,AO,1597342995
490,Adrar,-10.07,20.5,311.62,24,73,3.92,MR,1597342996
491,Chimbarongo,-71.05,-34.7,285.93,66,40,1.0,CL,1597342996
492,Krasnoslobodsk,44.57,48.71,290.15,48,10,2.0,RU,1597342996
493,Bonfim,-59.95,3.08,305.79,52,76,1.84,BR,1597342996
494,Cascais,-9.42,38.7,296.48,60,20,11.3,PT,1597342997
495,Luanda,13.23,-8.84,294.15,94,75,2.1,AO,1597342699
496,Inírida,-67.92,3.87,302.98,67,99,1.25,CO,1597342997
497,Pimentel,-79.93,-6.84,295.15,60,97,6.2,PE,1597342997
498,Turan,108.22,16.07,300.15,88,75,1.0,VN,1597342997
499,Olginskaya,39.95,47.19,294.82,42,6,3.0,RU,1597342997
500,Valdepeñas,-3.38,38.76,304.26,23,0,2.6,ES,1597342998
501,Kandrian,149.55,-6.22,298.31,89,100,4.63,PG,1597342998
502,Copperas Cove,-97.9,31.12,309.15,30,1,6.2,US,1597342998
503,Streletskoye,36.47,50.64,289.15,63,64,4.0,RU,1597342998
504,Lokosovo,74.82,61.13,283.39,88,99,5.61,RU,1597342998
505,Strizhi,49.29,58.46,284.67,73,100,2.81,RU,1597342998
506,San Miguel de Tucumán,-65.22,-26.82,294.15,21,0,2.6,AR,1597342759
507,Saint-Pierre,55.48,-21.34,294.15,64,90,2.6,RE,1597342999
508,Kiunga,141.29,-6.12,296.02,99,100,0.41,PG,1597342999
509,Lumajang,113.22,-8.13,296.88,88,26,0.84,ID,1597342999
510,Shache,77.24,38.42,301.08,25,69,2.87,CN,1597342999
511,Pyapon,95.68,16.28,299.2,88,100,6.2,MM,1597343000
512,Keroka,34.95,-0.78,286.82,100,98,0.49,KE,1597343000
513,Kibre Mengist,38.98,5.88,289.01,90,53,0.41,ET,1597343000
514,Bandar-e Lengeh,54.88,26.56,308.15,71,52,4.1,IR,1597343001
515,Ambilobe,49.05,-13.2,295.31,67,37,0.54,MG,1597343001
516,Leticia,-69.94,-4.22,306.15,63,40,1.0,CO,1597343001
517,Dinghaicun,119.79,26.28,301.15,88,0,2.0,CN,1597343001
518,Zhigansk,123.37,66.77,278.01,81,38,8.63,RU,1597343002
519,Den Helder,4.76,52.96,300.37,78,90,2.6,NL,1597343002
520,Mount Gambier,140.77,-37.83,282.15,93,0,4.6,AU,1597343002
521,Sandakan,118.12,5.84,299.15,88,20,1.5,MY,1597343003
522,Baykit,96.37,61.67,289.42,88,11,2.42,RU,1597343003
523,Kisanga,37.7,-7.44,296.51,61,33,2.52,TZ,1597343003
524,Fereydūnkenār,52.52,36.69,301.15,65,75,2.1,IR,1597343003
525,Henties Bay,14.28,-22.12,286.48,89,0,2.66,NA,1597343003
526,Ormond Beach,-81.06,29.29,299.15,83,75,3.1,US,1597343004
527,Lavrentiya,-171.0,65.58,282.37,75,100,2.08,RU,1597343004
528,Hirara,125.28,24.8,301.58,77,61,3.63,JP,1597343004
529,Ust'-Ishim,71.17,57.69,285.75,69,100,3.15,RU,1597343004
530,Brae,-1.35,60.4,286.15,87,75,3.1,GB,1597343004
531,Princeton,-80.41,25.54,308.15,59,20,4.1,US,1597342783
532,Marsá Maţrūḩ,27.25,31.35,301.15,65,0,5.1,EG,1597343005
533,Ca Mau,105.15,9.18,298.65,88,100,1.65,VN,1597343005
534,Otradnoye,30.82,59.78,288.15,62,20,1.0,RU,1597343005
535,Xai-Xai,33.64,-25.05,293.33,68,0,7.8,MZ,1597343005
536,Ribeira Brava,-17.07,32.65,294.26,86,46,0.89,PT,1597343005
537,Piaçabuçu,-36.43,-10.41,298.18,74,73,5.01,BR,1597343006
538,Viedma,-63.0,-40.81,289.26,33,0,1.79,AR,1597343006
539,Christchurch,172.63,-43.53,278.71,86,89,1.5,NZ,1597342729
540,Humberto de Campos,-43.46,-2.6,307.08,36,60,2.17,BR,1597343006
541,Dehlorān,47.27,32.69,308.31,10,29,3.43,IR,1597343006
542,Nouadhibou,-17.03,20.93,299.15,69,0,6.2,MR,1597343006
543,Kütahya,29.98,39.42,296.15,49,0,5.1,TR,1597343007
544,Stange,11.19,60.72,294.15,68,81,2.1,NO,1597343007
545,Urucará,-57.76,-2.54,309.81,35,100,2.92,BR,1597343007
546,Le Port,55.29,-20.94,294.15,56,90,5.1,RE,1597343007
547,Baláo,-79.82,-2.92,300.15,61,20,3.6,EC,1597343008
548,Whitehorse,-135.05,60.72,285.37,71,90,1.5,CA,1597342917
549,Sal Rei,-22.92,16.18,300.15,69,75,4.6,CV,1597343008
550,Coihueco,-71.83,-36.62,285.15,71,75,2.1,CL,1597343008
551,Abhar,49.22,36.15,290.29,69,0,3.8,IR,1597343008
552,Siimusti,26.34,58.73,287.59,93,39,2.1,EE,1597343008
553,Gorom-Gorom,-0.24,14.44,305.87,46,81,2.98,BF,1597343009
554,Nueva Imperial,-72.95,-38.73,282.15,93,90,5.1,CL,1597343009
555,Anadyr,177.48,64.75,282.15,87,78,4.0,RU,1597343009
556,Alyangula,136.42,-13.85,295.15,100,90,1.5,AU,1597343009
557,Lithgow,150.15,-33.48,281.48,86,2,0.86,AU,1597343009
558,Kindu,25.95,-2.95,299.47,63,94,1.32,CD,1597342874
559,Bacolod City,122.95,10.67,297.4,90,100,2.04,PH,1597342777
560,Progreso,-89.67,21.28,306.48,59,75,2.6,MX,1597343010
561,Fukuechō,128.84,32.69,300.57,91,0,5.43,JP,1597343010
562,Shingū,135.98,33.73,299.17,81,0,2.43,JP,1597343010
563,Tambura,27.47,5.6,295.49,96,100,0.86,SS,1597343010
564,Klyuchi,79.17,52.27,291.26,75,31,5.41,RU,1597343011
565,Borovsk,36.49,55.21,285.15,93,90,4.0,RU,1597343011
566,Jumla,82.18,29.27,290.81,71,100,1.48,NP,1597343011
567,Conde,-34.91,-7.26,296.15,94,75,8.2,BR,1597343011
568,San Ignacio,-89.07,17.16,305.15,66,75,2.1,BZ,1597343012
569,Bereket,55.52,39.24,306.29,31,0,2.59,TM,1597343012
570,Maragogi,-35.22,-9.01,298.18,76,78,5.14,BR,1597343012
571,Pemba,40.52,-12.97,297.15,78,40,2.6,MZ,1597343012
572,Moerai,-151.33,-22.43,293.65,65,68,6.04,PF,1597343012
573,Izazi,35.73,-7.2,292.15,63,20,3.6,TZ,1597343013
574,Mizdah,12.98,31.45,305.39,23,0,7.8,LY,1597343013
575,Pitogo,122.09,13.78,298.53,82,87,0.66,PH,1597343013
576,Zyryanka,150.85,65.75,281.6,68,100,4.57,RU,1597342848
577,Emporia,-96.18,38.4,301.15,69,75,4.6,US,1597343013
578,Ulagan,87.96,50.63,282.51,74,44,0.75,RU,1597343014
579,Sakakah,40.21,29.97,308.15,17,0,5.1,SA,1597343014
580,Toma,-2.88,12.77,302.03,66,82,1.88,BF,1597343014
581,Dutlwe,23.9,-23.98,287.71,24,0,3.97,BW,1597343014
582,Marzuq,46.47,14.4,303.6,43,96,2.02,YE,1597343014
