,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,Fort Beaufort,26.63,-32.77,282.45,57,0,0.61,ZA,1597342908
85,Bengkulu,102.27,-3.8,297.52,87,76,2.06,ID,1597342909
86,Ndendé,11.36,-2.4,299.21,68,96,2.75,GA,1597342909
87,Kedrovyy,91.82,56.17,289.15,93,85,1.73,RU,1597342909
88,Yar-Sale,70.83,66.83,281.58,76,80,4.17,RU,1597342909
89,Cockburn Town,-71.14,21.46,303.15,79,75,5.1,TC,1597342909
90,Kazachinskoye,93.28,57.7,289.95,85,86,0.39,RU,1597342909
91,Tuktoyaktuk,-133.04,69.45,283.15,76,90,3.6,CA,1597342910
92,Lynn Haven,-85.65,30.25,303.71,76,62,2.68,US,1597342910
93,Hithadhoo,73.08,-0.6,301.0,73,27,1.43,MV,1597342910
94,Hofn,-15.21,64.25,284.15,93,90,5.1,IS,1597342595
95,Praia da Vitória,-27.07,38.73,298.15,69,40,4.79,PT,1597342910
96,Gamba,10.0,-2.65,296.4,87,100,4.0,GA,1597342910
97,Alta Floresta,-56.09,-9.88,310.15,23,40,1.5,BR,1597342824
98,Pasni,63.47,25.26,301.39,84,28,5.08,PK,1597342911
99,Puerto Carreño,-67.49,6.19,305.15,59,40,1.19,CO,1597342911
100,Puerto Ayora,-90.35,-0.74,298.15,65,75,8.2,EC,1597342912
101,Butaritari,172.79,3.07,300.62,66,93,1.08,KI,1597342912
102,Pahrump,-115.98,36.21,307.15,10,1,6.2,US,1597342847
103,Batagay-Alyta,130.41,67.8,276.05,91,100,5.04,RU,1597342912
104,Sainte-Thècle,-72.5,46.82,300.15,42,40,3.6,CA,1597342912
105,Carnarvon,113.63,-24.87,285.15,100,0,1.0,AU,1597342912
106,Codrington,141.97,-38.27,281.67,94,41,4.28,AU,1597342595
107,Opuwo,13.84,-18.06,293.89,22,0,3.77,NA,1597342913
108,Jacareacanga,-57.75,-6.22,309.15,47,27,2.6,BR,1597342913
109,Banda Aceh,95.32,5.56,300.46,67,98,2.63,ID,1597342846
110,Deputatsky,139.9,69.3,275.25,91,100,2.02,RU,1597342844
111,Yellowknife,-114.35,62.46,288.71,100,90,7.2,CA,1597342913
112,Santa Flavia,13.54,38.09,302.59,68,0,3.13,IT,1597342914
113,Avera,-82.53,33.19,306.15,63,40,3.6,US,1597342914
114,Douentza,-2.95,15.0,305.64,46,97,1.49,ML,1597342914
115,Leningradskiy,178.42,69.38,286.06,69,100,4.76,RU,1597342915
116,Yeola,74.48,20.03,296.08,88,100,9.16,IN,1597342915
117,Torbay,-52.73,47.67,297.15,78,75,7.2,CA,1597342915
118,Ribeira Grande,-28.7,38.52,298.15,69,20,4.1,PT,1597342915
119,Seminole,-81.21,28.71,307.59,68,68,2.24,US,1597342916
120,Kharitonovo,47.5,61.4,283.14,71,100,1.1,RU,1597342916
121,Narsaq,-46.05,60.92,289.15,63,75,2.6,GL,1597342916
122,Jalu,21.55,29.03,305.96,24,0,7.83,LY,1597342916
123,College,-147.8,64.86,283.71,93,90,0.56,US,1597342916
124,Alofi,-169.92,-19.06,294.15,100,34,0.5,NU,1597342917
125,Bestöbe,73.1,52.5,288.38,77,100,6.59,KZ,1597342917
126,Rumuruti,36.54,0.27,289.61,85,100,1.37,KE,1597342917
127,Pamanukan,107.81,-6.28,297.5,90,73,1.54,ID,1597342917
128,Paracuru,-39.03,-3.41,302.15,62,20,7.7,BR,1597342918
129,San Patricio,-104.7,19.22,304.15,74,90,5.1,MX,1597342918
130,Xapuri,-68.5,-10.65,307.15,52,20,2.6,BR,1597342918
131,Gijang,129.21,35.24,300.15,83,75,2.1,KR,1597342918
132,Hong Kong,114.16,22.29,300.93,83,0,2.68,HK,1597342385
133,Makaha,-158.22,21.47,300.15,78,1,1.5,US,1597342919
134,Ampanihy,44.75,-24.7,289.65,81,0,2.51,MG,1597342919
135,Longyearbyen,15.64,78.22,284.15,71,75,3.1,SJ,1597342919
136,Helong,129.0,42.54,292.04,90,100,3.14,CN,1597342822
137,Dingle,122.67,11.0,296.91,94,100,0.76,PH,1597342919
138,Isla Mujeres,-86.73,21.23,304.15,70,75,5.7,MX,1597342919
139,Lebu,-73.65,-37.62,283.34,86,100,5.03,CL,1597342920
140,Vanimo,141.3,-2.67,298.62,83,55,1.41,PG,1597342920
141,Saint George,-113.58,37.1,307.04,11,1,1.5,US,1597342877
142,Constitución,-72.42,-35.33,285.95,60,90,4.17,CL,1597342920
143,Portland,-122.68,45.52,293.15,52,40,2.1,US,1597342644
144,Iskateley,53.15,67.68,280.7,79,79,3.56,RU,1597342921
145,Pawa,123.73,13.17,297.95,87,93,1.3,PH,1597342921
146,Marabba,32.18,12.35,301.44,68,2,3.01,SD,1597342921
147,Yerbogachën,108.01,61.28,283.15,49,0,4.65,RU,1597342921
148,Acapulco de Juárez,-99.89,16.86,303.15,74,90,1.5,MX,1597342922
149,Itoman,127.67,26.12,302.15,83,75,2.6,JP,1597342922
150,Dicabisagan,122.42,17.08,298.91,81,59,1.88,PH,1597342922
151,Nuuk,-51.72,64.18,285.15,58,20,2.6,GL,1597342909
152,Champerico,-91.92,14.3,306.15,63,40,3.1,GT,1597342923
153,Rock Springs,-109.2,41.59,300.15,12,1,7.2,US,1597342923
154,Souillac,57.52,-20.52,294.15,77,40,3.6,MU,1597342923
155,Port Macquarie,152.92,-31.43,284.26,97,2,2.34,AU,1597342923
156,Tigil',158.67,57.8,282.55,80,100,2.71,RU,1597342923
157,Filingué,3.32,14.35,307.24,42,75,3.05,NE,1597342923
158,Laguna,-121.42,38.42,305.37,30,1,1.5,US,1597342924
159,Kumul,93.45,42.8,302.82,14,98,6.2,CN,1597342924
160,Lázaro Cárdenas,-102.2,17.96,304.49,59,73,3.09,MX,1597342924
161,Santa Teresa del Tuy,-66.66,10.23,300.93,56,60,1.37,VE,1597342924
162,Thinadhoo,72.93,0.53,301.55,65,10,0.94,MV,1597342925
163,Hambantota,81.12,6.12,299.49,79,37,8.53,LK,1597342925
164,Nikolskoye,30.79,59.7,288.15,62,20,1.0,RU,1597342925
165,Yeppoon,150.73,-23.13,288.15,93,75,2.54,AU,1597342925
166,Port-Cartier,-66.87,50.03,300.15,44,40,5.7,CA,1597342925
167,Tual,132.75,-5.67,298.88,86,75,6.17,ID,1597342926
168,Buchanan,-10.05,5.88,300.15,74,75,4.1,LR,1597342926
169,Rozhdestveno,50.06,53.24,290.15,72,40,0.34,RU,1597342926
170,Mahébourg,57.7,-20.41,294.15,77,40,3.6,MU,1597342926
171,Itumbiara,-49.22,-18.42,307.03,21,21,2.88,BR,1597342927
172,Iqaluit,-68.51,63.75,286.15,58,75,6.2,CA,1597342927
173,São João da Barra,-41.05,-21.64,301.15,54,20,9.3,BR,1597342738
174,Jiangyou,104.72,31.77,296.7,88,79,1.13,CN,1597342927
175,Skotterud,12.13,59.98,297.15,57,65,2.6,NO,1597342927
176,Shīeli,66.75,44.17,296.11,31,0,3.24,KZ,1597342928
177,Mubende,31.39,0.56,292.05,89,100,0.8,UG,1597342928
178,Kaspiysk,47.64,42.88,299.15,54,86,9.0,RU,1597342928
179,Mossamedes,12.15,-15.2,290.48,81,10,2.13,AO,1597342928
180,Evanston,-87.69,42.04,302.59,37,75,4.1,US,1597342781
181,Kondinskoye,67.41,59.65,283.03,74,62,3.2,RU,1597342929
182,Tonantins,-67.8,-2.87,307.81,45,67,1.71,BR,1597342929
183,Marawi,124.29,8.0,296.48,96,100,0.89,PH,1597342929
184,Takoradze,-1.76,4.88,297.64,74,33,4.51,GH,1597342929
185,Aksay,39.87,47.26,294.82,42,8,3.0,RU,1597342929
186,Choma,26.95,-16.81,288.12,31,0,0.08,ZM,1597342929
187,Dukat,155.55,62.55,281.32,92,99,3.03,RU,1597342930
188,Nipawin,-104.0,53.37,290.15,59,75,3.6,CA,1597342930
189,Cayenne,-52.33,4.93,301.15,83,7,1.5,GF,1597342930
190,Khatanga,102.5,71.97,279.53,72,0,5.72,RU,1597342930
191,Garoowe,48.48,8.41,301.85,44,39,7.58,SO,1597342930
192,Gorontalo,123.06,0.54,295.76,77,63,0.99,ID,1597342931
193,Aswān,32.91,24.09,307.34,17,22,3.33,EG,1597342931
194,Tazovsky,78.7,67.47,283.08,84,80,8.6,RU,1597342931
195,Faanui,-151.75,-16.48,298.68,82,2,8.02,PF,1597342931
196,Mackay,149.2,-21.15,289.26,100,75,2.1,AU,1597342932
197,Leshukonskoye,45.76,64.9,279.84,95,59,1.56,RU,1597342932
198,Nara,135.8,34.69,301.48,58,38,0.6,JP,1597342880
199,Puerto Escondido,-97.07,15.85,303.15,66,5,3.1,MX,1597342932
200,Raudeberg,5.14,61.99,288.71,95,59,3.96,NO,1597342932
201,Chara,118.26,56.91,287.13,82,100,0.54,RU,1597342932
202,Thai Binh,106.33,20.45,301.15,88,75,3.1,VN,1597342687
203,Broken Hill,141.43,-31.95,285.15,87,90,3.6,AU,1597342933
204,Clyde River,-68.59,70.47,281.15,87,75,7.2,CA,1597342933
205,Sorong,131.25,-0.88,299.8,81,99,4.18,ID,1597342933
206,Wanning,110.4,18.8,299.89,84,100,2.09,CN,1597342933
207,Caravelas,-39.25,-17.71,298.32,62,8,3.31,BR,1597342887
208,Dunedin,170.5,-45.87,276.48,77,8,0.89,NZ,1597342933
209,Bontang,117.5,0.13,299.44,83,1,2.27,ID,1597342933
210,Qaqortoq,-46.03,60.72,289.15,63,75,2.6,GL,1597342934
211,Kahului,-156.47,20.89,301.15,61,20,6.7,US,1597342934
212,Nālūt,10.85,30.33,309.19,13,0,8.44,LY,1597342934
213,Vila Velha,-40.29,-20.33,300.15,65,51,7.2,BR,1597342884
214,Kavieng,150.8,-2.57,300.62,74,97,2.43,PG,1597342934
215,Cap Malheureux,57.61,-19.98,294.82,74,5,3.13,MU,1597342934
216,Hasaki,140.83,35.73,298.15,94,20,1.5,JP,1597342935
217,Port Alfred,26.89,-33.59,286.94,69,13,6.74,ZA,1597342935
218,Tarragona,1.25,41.13,302.15,70,20,2.1,ES,1597342842
219,Magugu,35.77,-4.02,294.11,56,40,1.45,TZ,1597342935
220,Meulaboh,96.13,4.14,298.78,69,100,1.35,ID,1597342935
221,Rome,-75.46,43.21,302.59,45,1,1.31,US,1597342685
222,Arlit,7.39,18.74,313.11,19,4,2.83,NE,1597342936
223,Sørland,12.69,67.67,287.15,93,75,5.7,NO,1597342936
224,Airai,125.41,-8.93,286.56,94,49,0.97,TL,1597342937
225,Dauphin,-100.05,51.15,294.15,88,1,2.6,CA,1597342938
226,Ahome,-109.18,25.92,307.04,55,75,2.1,MX,1597342938
227,Coahuayana Viejo,-103.68,18.73,298.15,83,90,1.49,MX,1597342938
228,Hamilton,-84.53,39.18,304.82,55,40,3.6,US,1597342531
229,Lorengau,147.27,-2.02,300.68,75,46,1.26,PG,1597342938
230,Sabha,14.43,27.04,308.77,20,0,4.51,LY,1597342938
231,Arraial do Cabo,-42.03,-22.97,303.15,61,14,8.7,BR,1597342939
232,Burgeo,-57.62,47.62,293.68,91,96,4.83,CA,1597342939
233,Salina Cruz,-95.2,16.17,306.22,51,65,7.81,MX,1597342939
234,Thayetmyo,95.18,19.32,297.84,95,100,4.54,MM,1597342939
235,Dulce Grande,-102.17,23.0,295.15,46,40,5.1,MX,1597342939
236,Ligayan,119.47,4.65,301.71,66,6,1.49,PH,1597342939
237,Samarai,150.67,-10.62,298.67,85,97,7.65,PG,1597342940
